,date,LST_min,LST_mean,LST_max,month,year
199,"{'type': 'Date', 'value': 1504224000000}",36.595714285714315,36.595714285714315,36.595714285714315,9,2017
200,"{'type': 'Date', 'value': 1506816000000}",33.70000000000003,33.70000000000003,33.70000000000003,10,2017
201,"{'type': 'Date', 'value': 1509494400000}",32.52615384615389,32.52615384615389,32.52615384615389,11,2017
202,"{'type': 'Date', 'value': 1512086400000}",27.690000000000026,27.690000000000026,27.690000000000026,12,2017
203,"{'type': 'Date', 'value': 1514764800000}",28.139600000000026,28.139600000000026,28.139600000000026,1,2018
204,"{'type': 'Date', 'value': 1517443200000}",31.642631578947395,31.642631578947395,31.642631578947395,2,2018
205,"{'type': 'Date', 'value': 1519862400000}",39.348518518518546,39.348518518518546,39.348518518518546,3,2018
206,"{'type': 'Date', 'value': 1522540800000}",42.663913043478296,42.663913043478296,42.663913043478296,4,2018
207,"{'type': 'Date', 'value': 1525132800000}",41.95480000000005,41.95480000000005,41.95480000000005,5,2018
208,"{'type': 'Date', 'value': 1527811200000}",38.49375000000002,38.49375000000002,38.49375000000002,6,2018
209,"{'type': 'Date', 'value': 1530403200000}",35.87000000000003,35.87000000000003,35.87000000000003,7,2018
210,"{'type': 'Date', 'value': 1533081600000}",34.553636363636386,34.553636363636386,34.553636363636386,8,2018
211,"{'type': 'Date', 'value': 1535760000000}",31.472500000000025,31.472500000000025,31.472500000000025,9,2018
212,"{'type': 'Date', 'value': 1538352000000}",31.838000000000033,31.838000000000033,31.838000000000033,10,2018
213,"{'type': 'Date', 'value': 1541030400000}",30.628888888888923,30.628888888888923,30.628888888888923,11,2018
214,"{'type': 'Date', 'value': 1543622400000}",26.052105263157923,26.052105263157923,26.052105263157923,12,2018
215,"{'type': 'Date', 'value': 1546300800000}",28.78000000000003,28.78000000000003,28.78000000000003,1,2019
216,"{'type': 'Date', 'value': 1548979200000}",33.14909090909094,33.14909090909094,33.14909090909094,2,2019
217,"{'type': 'Date', 'value': 1551398400000}",39.93640000000002,39.93640000000002,39.93640000000002,3,2019
218,"{'type': 'Date', 'value': 1554076800000}",41.742000000000026,41.742000000000026,41.742000000000026,4,2019
219,"{'type': 'Date', 'value': 1556668800000}",43.96454545454549,43.96454545454549,43.96454545454549,5,2019
220,"{'type': 'Date', 'value': 1559347200000}",40.49750000000003,40.49750000000003,40.49750000000003,6,2019
221,"{'type': 'Date', 'value': 1561939200000}",35.85000000000003,35.85000000000003,35.85000000000003,7,2019
222,"{'type': 'Date', 'value': 1564617600000}",35.55181818181821,35.55181818181821,35.55181818181821,8,2019
223,"{'type': 'Date', 'value': 1567296000000}",34.27888888888892,34.27888888888892,34.27888888888892,9,2019
224,"{'type': 'Date', 'value': 1569888000000}",32.40230769230772,32.40230769230772,32.40230769230772,10,2019
225,"{'type': 'Date', 'value': 1572566400000}",30.350000000000033,30.350000000000033,30.350000000000033,11,2019
226,"{'type': 'Date', 'value': 1575158400000}",28.494166666666697,28.494166666666697,28.494166666666697,12,2019
227,"{'type': 'Date', 'value': 1577836800000}",27.265000000000033,27.265000000000033,27.265000000000033,1,2020
228,"{'type': 'Date', 'value': 1580515200000}",31.874444444444478,31.874444444444478,31.874444444444478,2,2020
229,"{'type': 'Date', 'value': 1583020800000}",38.01461538461542,38.01461538461542,38.01461538461542,3,2020
230,"{'type': 'Date', 'value': 1585699200000}",42.373000000000026,42.373000000000026,42.373000000000026,4,2020
231,"{'type': 'Date', 'value': 1588291200000}",43.511538461538485,43.511538461538485,43.511538461538485,5,2020
232,"{'type': 'Date', 'value': 1590969600000}",40.82466666666668,40.82466666666668,40.82466666666668,6,2020
233,"{'type': 'Date', 'value': 1593561600000}",34.73400000000002,34.73400000000002,34.73400000000002,7,2020
234,"{'type': 'Date', 'value': 1596240000000}",36.06000000000002,36.06000000000002,36.06000000000002,8,2020
235,"{'type': 'Date', 'value': 1598918400000}",32.60500000000004,32.60500000000004,32.60500000000004,9,2020
236,"{'type': 'Date', 'value': 1601510400000}",34.45272727272731,34.45272727272731,34.45272727272731,10,2020
237,"{'type': 'Date', 'value': 1604188800000}",32.178148148148175,32.178148148148175,32.178148148148175,11,2020
238,"{'type': 'Date', 'value': 1606780800000}",27.784736842105293,27.784736842105293,27.784736842105293,12,2020
